path,n_samples
/data/Dataset/train/train/clip_00000.wav,56056
/data/Dataset/test/test/clip_00001.wav,38972
/data/Dataset/train/train/clip_00002.wav,31498
/data/Dataset/train/train/clip_00003.wav,22343
/data/Dataset/train/train/clip_00004.wav,32566
/data/Dataset/train/train/clip_00005.wav,54454
/data/Dataset/test/test/clip_00006.wav,49650
/data/Dataset/train/train/clip_00007.wav,43243
/data/Dataset/train/train/clip_00008.wav,28829
/data/Dataset/train/train/clip_00009.wav,42709
/data/Dataset/train/train/clip_00010.wav,34363
/data/Dataset/train/train/clip_00011.wav,32127
/data/Dataset/test/test/clip_00012.wav,46446
/data/Dataset/train/train/clip_00013.wav,34610
/data/Dataset/train/train/clip_00014.wav,34167
/data/Dataset/train/train/clip_00015.wav,37904
/data/Dataset/train/train/clip_00016.wav,28506
/data/Dataset/train/train/clip_00017.wav,29371
/data/Dataset/train/train/clip_00018.wav,46446
/data/Dataset/train/train/clip_00019.wav,21102
/data/Dataset/train/train/clip_00020.wav,38972
/data/Dataset/train/train/clip_00021.wav,43243
/data/Dataset/train/train/clip_00022.wav,36303
/data/Dataset/train/train/clip_00023.wav,33100
/data/Dataset/train/train/clip_00024.wav,40574
/data/Dataset/test/test/clip_00025.wav,36303
/data/Dataset/test/test/clip_00026.wav,40574
/data/Dataset/train/train/clip_00027.wav,29363
/data/Dataset/train/train/clip_00028.wav,44845
/data/Dataset/train/train/clip_00029.wav,39996
/data/Dataset/train/train/clip_00030.wav,37371
/data/Dataset/train/train/clip_00031.wav,33372
/data/Dataset/train/train/clip_00032.wav,39506
/data/Dataset/train/train/clip_00033.wav,42175
/data/Dataset/train/train/clip_00034.wav,32032
/data/Dataset/train/train/clip_00035.wav,28829
/data/Dataset/train/train/clip_00036.wav,36409
/data/Dataset/test/test/clip_00037.wav,36303
/data/Dataset/train/train/clip_00038.wav,41642
/data/Dataset/train/train/clip_00039.wav,25093
/data/Dataset/test/test/clip_00040.wav,66200
/data/Dataset/train/train/clip_00041.wav,36303
/data/Dataset/train/train/clip_00042.wav,30678
/data/Dataset/train/train/clip_00043.wav,32032
/data/Dataset/train/train/clip_00044.wav,34701
/data/Dataset/train/train/clip_00045.wav,28829
/data/Dataset/train/train/clip_00046.wav,36837
/data/Dataset/train/train/clip_00047.wav,46446
/data/Dataset/train/train/clip_00048.wav,57124
/data/Dataset/train/train/clip_00049.wav,36409
/data/Dataset/train/train/clip_00050.wav,35235
/data/Dataset/train/train/clip_00051.wav,33634
/data/Dataset/train/train/clip_00052.wav,24024
/data/Dataset/train/train/clip_00053.wav,34167
/data/Dataset/test/test/clip_00054.wav,50183
/data/Dataset/train/train/clip_00055.wav,56056
/data/Dataset/train/train/clip_00056.wav,28461
/data/Dataset/train/train/clip_00057.wav,33100
/data/Dataset/train/train/clip_00058.wav,37848
/data/Dataset/train/train/clip_00059.wav,32224
/data/Dataset/train/train/clip_00060.wav,46446
/data/Dataset/train/train/clip_00061.wav,30081
/data/Dataset/train/train/clip_00062.wav,46980
/data/Dataset/train/train/clip_00063.wav,39506
/data/Dataset/train/train/clip_00064.wav,30993
/data/Dataset/test/test/clip_00065.wav,43777
/data/Dataset/test/test/clip_00066.wav,42175
/data/Dataset/train/train/clip_00067.wav,36303
/data/Dataset/train/train/clip_00068.wav,49650
/data/Dataset/train/train/clip_00069.wav,41108
/data/Dataset/train/train/clip_00070.wav,37371
/data/Dataset/train/train/clip_00071.wav,42709
/data/Dataset/train/train/clip_00072.wav,60861
/data/Dataset/train/train/clip_00073.wav,30964
/data/Dataset/train/train/clip_00074.wav,26693
/data/Dataset/train/train/clip_00075.wav,24796
/data/Dataset/test/test/clip_00076.wav,47514
/data/Dataset/train/train/clip_00077.wav,36837
/data/Dataset/train/train/clip_00078.wav,48048
/data/Dataset/train/train/clip_00079.wav,41108
/data/Dataset/train/train/clip_00080.wav,33100
/data/Dataset/train/train/clip_00081.wav,37371
/data/Dataset/train/train/clip_00082.wav,58191
/data/Dataset/test/test/clip_00083.wav,51785
/data/Dataset/train/train/clip_00084.wav,43243
/data/Dataset/test/test/clip_00085.wav,38972
/data/Dataset/train/train/clip_00086.wav,36303
/data/Dataset/train/train/clip_00087.wav,41642
/data/Dataset/train/train/clip_00088.wav,34525
/data/Dataset/train/train/clip_00089.wav,51785
/data/Dataset/train/train/clip_00090.wav,58725
/data/Dataset/train/train/clip_00091.wav,26159
/data/Dataset/train/train/clip_00092.wav,36303
/data/Dataset/test/test/clip_00093.wav,38438
/data/Dataset/train/train/clip_00094.wav,43243
/data/Dataset/train/train/clip_00095.wav,57657
/data/Dataset/train/train/clip_00096.wav,45379
/data/Dataset/train/train/clip_00097.wav,29896
/data/Dataset/train/train/clip_00098.wav,24558
/data/Dataset/train/train/clip_00099.wav,76877
/data/Dataset/train/train/clip_00100.wav,40040
/data/Dataset/train/train/clip_00101.wav,24635
/data/Dataset/train/train/clip_00102.wav,46446
/data/Dataset/test/test/clip_00103.wav,52319
/data/Dataset/train/train/clip_00104.wav,29363
/data/Dataset/train/train/clip_00105.wav,28315
/data/Dataset/train/train/clip_00106.wav,32151
/data/Dataset/train/train/clip_00107.wav,31040
/data/Dataset/train/train/clip_00108.wav,42099
/data/Dataset/train/train/clip_00109.wav,23073
/data/Dataset/train/train/clip_00110.wav,34701
/data/Dataset/train/train/clip_00111.wav,40040
/data/Dataset/test/test/clip_00112.wav,38438
/data/Dataset/train/train/clip_00113.wav,57124
/data/Dataset/train/train/clip_00114.wav,48582
/data/Dataset/train/train/clip_00115.wav,38972
/data/Dataset/train/train/clip_00116.wav,67267
/data/Dataset/train/train/clip_00117.wav,33634
/data/Dataset/train/train/clip_00118.wav,41642
/data/Dataset/train/train/clip_00119.wav,58191
/data/Dataset/train/train/clip_00120.wav,38972
/data/Dataset/train/train/clip_00121.wav,32355
/data/Dataset/train/train/clip_00122.wav,34319
/data/Dataset/train/train/clip_00123.wav,25710
/data/Dataset/train/train/clip_00124.wav,30964
/data/Dataset/test/test/clip_00125.wav,42175
/data/Dataset/train/train/clip_00126.wav,47514
/data/Dataset/train/train/clip_00127.wav,48582
/data/Dataset/train/train/clip_00128.wav,48582
/data/Dataset/train/train/clip_00129.wav,28829
/data/Dataset/train/train/clip_00130.wav,46980
/data/Dataset/train/train/clip_00131.wav,39506
/data/Dataset/train/train/clip_00132.wav,34701
/data/Dataset/train/train/clip_00133.wav,25009
/data/Dataset/test/test/clip_00134.wav,36303
/data/Dataset/train/train/clip_00135.wav,39357
/data/Dataset/train/train/clip_00136.wav,28295
/data/Dataset/train/train/clip_00137.wav,36303
/data/Dataset/train/train/clip_00138.wav,41108
/data/Dataset/train/train/clip_00139.wav,35235
/data/Dataset/test/test/clip_00140.wav,56590
/data/Dataset/train/train/clip_00141.wav,43282
/data/Dataset/train/train/clip_00142.wav,55522
/data/Dataset/train/train/clip_00143.wav,40337
/data/Dataset/train/train/clip_00144.wav,30365
/data/Dataset/train/train/clip_00145.wav,33137
/data/Dataset/train/train/clip_00146.wav,43243
/data/Dataset/train/train/clip_00147.wav,37371
/data/Dataset/train/train/clip_00148.wav,44311
/data/Dataset/train/train/clip_00149.wav,30172
/data/Dataset/train/train/clip_00150.wav,35769
/data/Dataset/train/train/clip_00151.wav,35274
/data/Dataset/train/train/clip_00152.wav,40040
/data/Dataset/train/train/clip_00153.wav,62462
/data/Dataset/train/train/clip_00154.wav,56056
/data/Dataset/train/train/clip_00155.wav,36409
/data/Dataset/test/test/clip_00156.wav,41642
/data/Dataset/train/train/clip_00157.wav,36837
/data/Dataset/train/train/clip_00158.wav,54455
/data/Dataset/train/train/clip_00159.wav,38547
/data/Dataset/train/train/clip_00160.wav,39049
/data/Dataset/train/train/clip_00161.wav,46980
/data/Dataset/train/train/clip_00162.wav,36837
/data/Dataset/train/train/clip_00163.wav,43777
/data/Dataset/train/train/clip_00164.wav,43777
/data/Dataset/train/train/clip_00165.wav,43243
/data/Dataset/train/train/clip_00166.wav,50717
/data/Dataset/train/train/clip_00167.wav,57124
/data/Dataset/train/train/clip_00168.wav,26159
/data/Dataset/train/train/clip_00169.wav,37558
/data/Dataset/train/train/clip_00170.wav,35069
/data/Dataset/train/train/clip_00171.wav,57124
/data/Dataset/train/train/clip_00172.wav,43777
/data/Dataset/train/train/clip_00173.wav,51251
/data/Dataset/train/train/clip_00174.wav,44311
/data/Dataset/test/test/clip_00175.wav,51785
/data/Dataset/train/train/clip_00176.wav,43777
/data/Dataset/train/train/clip_00177.wav,57658
/data/Dataset/train/train/clip_00178.wav,51785
/data/Dataset/train/train/clip_00179.wav,76343
/data/Dataset/train/train/clip_00180.wav,43243
/data/Dataset/test/test/clip_00181.wav,40574
/data/Dataset/train/train/clip_00182.wav,30430
/data/Dataset/test/test/clip_00183.wav,36837
/data/Dataset/test/test/clip_00184.wav,40574
/data/Dataset/train/train/clip_00185.wav,40040
/data/Dataset/train/train/clip_00186.wav,26753
/data/Dataset/train/train/clip_00187.wav,41108
/data/Dataset/train/train/clip_00188.wav,40040
/data/Dataset/train/train/clip_00189.wav,62462
/data/Dataset/test/test/clip_00190.wav,38972
/data/Dataset/train/train/clip_00191.wav,23847
/data/Dataset/train/train/clip_00192.wav,36409
/data/Dataset/train/train/clip_00193.wav,37862
/data/Dataset/train/train/clip_00194.wav,36409
/data/Dataset/train/train/clip_00195.wav,57657
/data/Dataset/train/train/clip_00196.wav,34167
/data/Dataset/train/train/clip_00197.wav,41642
/data/Dataset/test/test/clip_00198.wav,32032
/data/Dataset/test/test/clip_00199.wav,51251
/data/Dataset/train/train/clip_00200.wav,36303
/data/Dataset/train/train/clip_00201.wav,42175
/data/Dataset/test/test/clip_00202.wav,52319
/data/Dataset/train/train/clip_00203.wav,72072
/data/Dataset/test/test/clip_00204.wav,41108
/data/Dataset/train/train/clip_00205.wav,32865
/data/Dataset/train/train/clip_00206.wav,31470
/data/Dataset/train/train/clip_00207.wav,48048
/data/Dataset/train/train/clip_00208.wav,57124
/data/Dataset/train/train/clip_00209.wav,36837
/data/Dataset/train/train/clip_00210.wav,41108
/data/Dataset/train/train/clip_00211.wav,36837
/data/Dataset/train/train/clip_00212.wav,52319
/data/Dataset/train/train/clip_00213.wav,44845
/data/Dataset/test/test/clip_00214.wav,41108
/data/Dataset/train/train/clip_00215.wav,55522
/data/Dataset/train/train/clip_00216.wav,54454
/data/Dataset/train/train/clip_00217.wav,43044
/data/Dataset/train/train/clip_00218.wav,68335
/data/Dataset/train/train/clip_00219.wav,60861
/data/Dataset/train/train/clip_00220.wav,42175
/data/Dataset/train/train/clip_00221.wav,36987
/data/Dataset/train/train/clip_00222.wav,33100
/data/Dataset/train/train/clip_00223.wav,26773
/data/Dataset/train/train/clip_00224.wav,53921
/data/Dataset/train/train/clip_00225.wav,31503
/data/Dataset/train/train/clip_00226.wav,35963
/data/Dataset/train/train/clip_00227.wav,23942
/data/Dataset/train/train/clip_00228.wav,43243
/data/Dataset/train/train/clip_00229.wav,38972
/data/Dataset/train/train/clip_00230.wav,37148
/data/Dataset/train/train/clip_00231.wav,26159
/data/Dataset/train/train/clip_00232.wav,52319
/data/Dataset/train/train/clip_00233.wav,42175
/data/Dataset/train/train/clip_00234.wav,42175
/data/Dataset/train/train/clip_00235.wav,30566
/data/Dataset/train/train/clip_00236.wav,27761
/data/Dataset/train/train/clip_00237.wav,26747
/data/Dataset/train/train/clip_00238.wav,42709
/data/Dataset/test/test/clip_00239.wav,40574
/data/Dataset/train/train/clip_00240.wav,34701
/data/Dataset/train/train/clip_00241.wav,68335
/data/Dataset/train/train/clip_00242.wav,34167
/data/Dataset/test/test/clip_00243.wav,51785
/data/Dataset/train/train/clip_00244.wav,27227
/data/Dataset/train/train/clip_00245.wav,22803
/data/Dataset/train/train/clip_00246.wav,45379
/data/Dataset/train/train/clip_00247.wav,46980
/data/Dataset/train/train/clip_00248.wav,27227
/data/Dataset/train/train/clip_00249.wav,40040
/data/Dataset/train/train/clip_00250.wav,30305
/data/Dataset/train/train/clip_00251.wav,36409
/data/Dataset/train/train/clip_00252.wav,40574
/data/Dataset/train/train/clip_00253.wav,35235
/data/Dataset/train/train/clip_00254.wav,35235
/data/Dataset/train/train/clip_00255.wav,26159
/data/Dataset/train/train/clip_00256.wav,24110
/data/Dataset/train/train/clip_00257.wav,31498
/data/Dataset/train/train/clip_00258.wav,31722
/data/Dataset/train/train/clip_00259.wav,54988
/data/Dataset/test/test/clip_00260.wav,59793
/data/Dataset/test/test/clip_00261.wav,32032
/data/Dataset/train/train/clip_00262.wav,33634
/data/Dataset/test/test/clip_00263.wav,36303
/data/Dataset/train/train/clip_00264.wav,49650
/data/Dataset/train/train/clip_00265.wav,36303
/data/Dataset/train/train/clip_00266.wav,32032
/data/Dataset/train/train/clip_00267.wav,60327
/data/Dataset/train/train/clip_00268.wav,32615
/data/Dataset/train/train/clip_00269.wav,49650
/data/Dataset/train/train/clip_00270.wav,56056
/data/Dataset/train/train/clip_00271.wav,54454
/data/Dataset/train/train/clip_00272.wav,34701
