file_id,corpus,pseudo_speaker
clip_00000,RAVDESS,RAVDESS_011
clip_00002,CREMA-D,CREMA-D_020
clip_00003,TESS,TESS_000
clip_00004,CREMA-D,CREMA-D_007
clip_00005,CREMA-D,CREMA-D_065
clip_00007,CREMA-D,CREMA-D_054
clip_00008,CREMA-D,CREMA-D_063
clip_00009,CREMA-D,CREMA-D_056
clip_00010,TESS,TESS_001
clip_00011,TESS,TESS_001
clip_00013,TESS,TESS_000
clip_00014,CREMA-D,CREMA-D_044
clip_00015,CREMA-D,CREMA-D_021
clip_00016,TESS,TESS_000
clip_00017,TESS,TESS_000
clip_00018,CREMA-D,CREMA-D_069
clip_00019,TESS,TESS_001
clip_00020,CREMA-D,CREMA-D_013
clip_00021,CREMA-D,CREMA-D_040
clip_00022,CREMA-D,CREMA-D_055
clip_00023,CREMA-D,CREMA-D_027
clip_00024,CREMA-D,CREMA-D_031
clip_00027,CREMA-D,CREMA-D_055
clip_00028,CREMA-D,CREMA-D_048
clip_00029,TESS,TESS_000
clip_00030,CREMA-D,CREMA-D_000
clip_00031,TESS,TESS_001
clip_00032,CREMA-D,CREMA-D_013
clip_00033,CREMA-D,CREMA-D_049
clip_00034,CREMA-D,CREMA-D_051
clip_00035,CREMA-D,CREMA-D_068
clip_00036,CREMA-D,CREMA-D_017
clip_00038,CREMA-D,CREMA-D_008
clip_00039,TESS,TESS_000
clip_00041,CREMA-D,CREMA-D_007
clip_00042,TESS,TESS_001
clip_00043,CREMA-D,CREMA-D_049
clip_00044,CREMA-D,CREMA-D_009
clip_00045,CREMA-D,CREMA-D_030
clip_00046,CREMA-D,CREMA-D_068
clip_00047,CREMA-D,CREMA-D_040
clip_00048,RAVDESS,RAVDESS_017
clip_00049,CREMA-D,CREMA-D_013
clip_00050,CREMA-D,CREMA-D_032
clip_00051,CREMA-D,CREMA-D_056
clip_00052,CREMA-D,CREMA-D_048
clip_00053,CREMA-D,CREMA-D_007
clip_00055,CREMA-D,CREMA-D_020
clip_00056,TESS,TESS_001
clip_00057,CREMA-D,CREMA-D_029
clip_00058,TESS,TESS_000
clip_00059,TESS,TESS_000
clip_00060,CREMA-D,CREMA-D_014
clip_00061,TESS,TESS_001
clip_00062,CREMA-D,CREMA-D_065
clip_00063,CREMA-D,CREMA-D_033
clip_00064,TESS,TESS_000
clip_00067,CREMA-D,CREMA-D_023
clip_00068,CREMA-D,CREMA-D_001
clip_00069,CREMA-D,CREMA-D_029
clip_00070,CREMA-D,CREMA-D_015
clip_00071,CREMA-D,CREMA-D_064
clip_00072,CREMA-D,CREMA-D_001
clip_00073,CREMA-D,CREMA-D_060
clip_00074,CREMA-D,CREMA-D_064
clip_00075,TESS,TESS_000
clip_00077,CREMA-D,CREMA-D_013
clip_00078,CREMA-D,CREMA-D_033
clip_00079,CREMA-D,CREMA-D_063
clip_00080,CREMA-D,CREMA-D_049
clip_00081,CREMA-D,CREMA-D_069
clip_00082,CREMA-D,CREMA-D_028
clip_00084,CREMA-D,CREMA-D_026
clip_00086,CREMA-D,CREMA-D_018
clip_00087,CREMA-D,CREMA-D_062
clip_00088,TESS,TESS_000
clip_00089,CREMA-D,CREMA-D_046
clip_00090,CREMA-D,CREMA-D_008
clip_00091,CREMA-D,CREMA-D_002
clip_00092,CREMA-D,CREMA-D_065
clip_00094,CREMA-D,CREMA-D_068
clip_00095,RAVDESS,RAVDESS_013
clip_00096,CREMA-D,CREMA-D_051
clip_00097,CREMA-D,CREMA-D_008
clip_00098,CREMA-D,CREMA-D_054
clip_00099,CREMA-D,CREMA-D_014
clip_00100,CREMA-D,CREMA-D_054
clip_00101,TESS,TESS_000
clip_00102,CREMA-D,CREMA-D_044
clip_00104,CREMA-D,CREMA-D_014
clip_00105,TESS,TESS_000
clip_00106,TESS,TESS_001
clip_00107,TESS,TESS_000
clip_00108,TESS,TESS_000
clip_00109,TESS,TESS_001
clip_00110,CREMA-D,CREMA-D_022
clip_00111,CREMA-D,CREMA-D_007
clip_00113,RAVDESS,RAVDESS_001
clip_00114,CREMA-D,CREMA-D_065
clip_00115,CREMA-D,CREMA-D_018
clip_00116,RAVDESS,RAVDESS_014
clip_00117,CREMA-D,CREMA-D_068
clip_00118,CREMA-D,CREMA-D_041
clip_00119,CREMA-D,CREMA-D_022
clip_00120,CREMA-D,CREMA-D_032
clip_00121,TESS,TESS_001
clip_00122,TESS,TESS_000
clip_00123,TESS,TESS_000
clip_00124,CREMA-D,CREMA-D_057
clip_00126,CREMA-D,CREMA-D_014
clip_00127,CREMA-D,CREMA-D_003
clip_00128,CREMA-D,CREMA-D_037
clip_00129,CREMA-D,CREMA-D_027
clip_00130,CREMA-D,CREMA-D_046
clip_00131,CREMA-D,CREMA-D_010
clip_00132,CREMA-D,CREMA-D_027
clip_00133,TESS,TESS_000
clip_00135,TESS,TESS_001
clip_00136,CREMA-D,CREMA-D_052
clip_00137,CREMA-D,CREMA-D_071
clip_00138,CREMA-D,CREMA-D_056
clip_00139,CREMA-D,CREMA-D_026
clip_00141,TESS,TESS_001
clip_00142,RAVDESS,RAVDESS_019
clip_00143,TESS,TESS_001
clip_00144,TESS,TESS_001
clip_00145,TESS,TESS_001
clip_00146,CREMA-D,CREMA-D_026
clip_00147,CREMA-D,CREMA-D_043
clip_00148,CREMA-D,CREMA-D_012
clip_00149,TESS,TESS_001
clip_00150,CREMA-D,CREMA-D_003
clip_00151,TESS,TESS_001
clip_00152,CREMA-D,CREMA-D_053
clip_00153,CREMA-D,CREMA-D_031
clip_00154,RAVDESS,RAVDESS_014
clip_00155,CREMA-D,CREMA-D_023
clip_00157,CREMA-D,CREMA-D_024
clip_00158,RAVDESS,RAVDESS_004
clip_00159,TESS,TESS_000
clip_00160,TESS,TESS_000
clip_00161,CREMA-D,CREMA-D_068
clip_00162,CREMA-D,CREMA-D_052
clip_00163,CREMA-D,CREMA-D_048
clip_00164,CREMA-D,CREMA-D_021
clip_00165,CREMA-D,CREMA-D_022
clip_00166,CREMA-D,CREMA-D_068
clip_00167,RAVDESS,RAVDESS_014
clip_00168,CREMA-D,CREMA-D_033
clip_00169,TESS,TESS_000
clip_00170,TESS,TESS_001
clip_00171,RAVDESS,RAVDESS_009
clip_00172,CREMA-D,CREMA-D_017
clip_00173,CREMA-D,CREMA-D_009
clip_00174,CREMA-D,CREMA-D_022
clip_00176,CREMA-D,CREMA-D_027
clip_00177,CREMA-D,CREMA-D_019
clip_00178,CREMA-D,CREMA-D_015
clip_00179,CREMA-D,CREMA-D_017
clip_00180,CREMA-D,CREMA-D_001
clip_00182,CREMA-D,CREMA-D_010
clip_00185,CREMA-D,CREMA-D_031
clip_00186,TESS,TESS_001
clip_00187,CREMA-D,CREMA-D_022
clip_00188,CREMA-D,CREMA-D_003
clip_00189,RAVDESS,RAVDESS_011
clip_00191,TESS,TESS_000
clip_00192,CREMA-D,CREMA-D_000
clip_00193,TESS,TESS_001
clip_00194,CREMA-D,CREMA-D_071
clip_00195,RAVDESS,RAVDESS_007
clip_00196,CREMA-D,CREMA-D_032
clip_00197,CREMA-D,CREMA-D_037
clip_00200,CREMA-D,CREMA-D_038
clip_00201,CREMA-D,CREMA-D_025
clip_00203,RAVDESS,RAVDESS_003
clip_00205,TESS,TESS_001
clip_00206,TESS,TESS_001
clip_00207,CREMA-D,CREMA-D_059
clip_00208,RAVDESS,RAVDESS_019
clip_00209,CREMA-D,CREMA-D_011
clip_00210,CREMA-D,CREMA-D_059
clip_00211,CREMA-D,CREMA-D_017
clip_00212,CREMA-D,CREMA-D_015
clip_00213,CREMA-D,CREMA-D_021
clip_00215,RAVDESS,RAVDESS_006
clip_00216,CREMA-D,CREMA-D_037
clip_00217,TESS,TESS_001
clip_00218,RAVDESS,RAVDESS_001
clip_00219,CREMA-D,CREMA-D_033
clip_00220,CREMA-D,CREMA-D_002
clip_00221,TESS,TESS_000
clip_00222,CREMA-D,CREMA-D_036
clip_00223,TESS,TESS_000
clip_00224,CREMA-D,CREMA-D_062
clip_00225,TESS,TESS_000
clip_00226,TESS,TESS_001
clip_00227,TESS,TESS_000
clip_00228,CREMA-D,CREMA-D_011
clip_00229,CREMA-D,CREMA-D_041
clip_00230,TESS,TESS_001
clip_00231,CREMA-D,CREMA-D_032
clip_00232,CREMA-D,CREMA-D_039
clip_00233,CREMA-D,CREMA-D_058
clip_00234,UNKNOWN,UNKNOWN_pool
clip_00235,TESS,TESS_001
clip_00236,CREMA-D,CREMA-D_040
clip_00237,TESS,TESS_000
clip_00238,CREMA-D,CREMA-D_053
clip_00240,CREMA-D,CREMA-D_021
clip_00241,RAVDESS,RAVDESS_002
clip_00242,CREMA-D,CREMA-D_037
clip_00244,CREMA-D,CREMA-D_013
clip_00245,TESS,TESS_000
clip_00246,CREMA-D,CREMA-D_043
clip_00247,CREMA-D,CREMA-D_019
clip_00248,CREMA-D,CREMA-D_047
clip_00249,CREMA-D,CREMA-D_069
clip_00250,TESS,TESS_000
clip_00251,CREMA-D,CREMA-D_046
clip_00252,CREMA-D,CREMA-D_002
clip_00253,CREMA-D,CREMA-D_004
clip_00254,CREMA-D,CREMA-D_019
clip_00255,CREMA-D,CREMA-D_058
clip_00256,TESS,TESS_000
clip_00257,CREMA-D,CREMA-D_064
clip_00258,TESS,TESS_000
clip_00259,CREMA-D,CREMA-D_040
clip_00262,CREMA-D,CREMA-D_022
clip_00264,RAVDESS,RAVDESS_006
clip_00265,CREMA-D,CREMA-D_060
clip_00266,CREMA-D,CREMA-D_012
clip_00267,RAVDESS,RAVDESS_000
clip_00268,TESS,TESS_001
clip_00269,CREMA-D,CREMA-D_053
clip_00270,RAVDESS,RAVDESS_004
clip_00271,RAVDESS,RAVDESS_000
clip_00272,CREMA-D,CREMA-D_060
clip_00274,TESS,TESS_001
clip_00275,CREMA-D,CREMA-D_053
clip_00276,TESS,TESS_000
clip_00277,RAVDESS,RAVDESS_003
