idx,split,label,dur,sr,ch,subtype
0,train,1,3.5035,16000,1,PCM_16
1,test,-1,2.43575,16000,1,PCM_16
2,train,4,1.968625,16000,1,PCM_16
3,train,3,1.3964375,16000,1,PCM_16
4,train,1,2.035375,16000,1,PCM_16
5,train,4,3.403375,16000,1,PCM_16
6,test,-1,3.103125,16000,1,PCM_16
7,train,2,2.7026875,16000,1,PCM_16
8,train,1,1.8018125,16000,1,PCM_16
9,train,4,2.6693125,16000,1,PCM_16
10,train,0,2.1476875,16000,1,PCM_16
11,train,0,2.0079375,16000,1,PCM_16
12,test,-1,2.902875,16000,1,PCM_16
13,train,4,2.163125,16000,1,PCM_16
14,train,2,2.1354375,16000,1,PCM_16
15,train,0,2.369,16000,1,PCM_16
16,train,3,1.781625,16000,1,PCM_16
17,train,5,1.8356875,16000,1,PCM_16
18,train,0,2.902875,16000,1,PCM_16
19,train,3,1.318875,16000,1,PCM_16
20,train,1,2.43575,16000,1,PCM_16
21,train,4,2.7026875,16000,1,PCM_16
22,train,0,2.2689375,16000,1,PCM_16
23,train,2,2.06875,16000,1,PCM_16
24,train,2,2.535875,16000,1,PCM_16
25,test,-1,2.2689375,16000,1,PCM_16
26,test,-1,2.535875,16000,1,PCM_16
27,train,1,1.8351875,16000,1,PCM_16
28,train,4,2.8028125,16000,1,PCM_16
29,train,4,2.49975,16000,1,PCM_16
30,train,4,2.3356875,16000,1,PCM_16
31,train,1,2.08575,16000,1,PCM_16
32,train,4,2.469125,16000,1,PCM_16
33,train,2,2.6359375,16000,1,PCM_16
34,train,0,2.002,16000,1,PCM_16
35,train,2,1.8018125,16000,1,PCM_16
36,train,0,2.2755625,16000,1,PCM_16
37,test,-1,2.2689375,16000,1,PCM_16
38,train,1,2.602625,16000,1,PCM_16
39,train,0,1.5683125,16000,1,PCM_16
40,test,-1,4.1375,16000,1,PCM_16
41,train,0,2.2689375,16000,1,PCM_16
42,train,3,1.917375,16000,1,PCM_16
43,train,2,2.002,16000,1,PCM_16
44,train,1,2.1688125,16000,1,PCM_16
45,train,5,1.8018125,16000,1,PCM_16
46,train,2,2.3023125,16000,1,PCM_16
47,train,3,2.902875,16000,1,PCM_16
48,train,0,3.57025,16000,1,PCM_16
49,train,1,2.2755625,16000,1,PCM_16
50,train,5,2.2021875,16000,1,PCM_16
51,train,0,2.102125,16000,1,PCM_16
52,train,1,1.5015,16000,1,PCM_16
53,train,0,2.1354375,16000,1,PCM_16
54,test,-1,3.1364375,16000,1,PCM_16
55,train,5,3.5035,16000,1,PCM_16
56,train,3,1.7788125,16000,1,PCM_16
57,train,5,2.06875,16000,1,PCM_16
58,train,4,2.3655,16000,1,PCM_16
59,train,1,2.014,16000,1,PCM_16
60,train,2,2.902875,16000,1,PCM_16
61,train,1,1.8800625,16000,1,PCM_16
62,train,3,2.93625,16000,1,PCM_16
63,train,0,2.469125,16000,1,PCM_16
64,train,1,1.9370625,16000,1,PCM_16
65,test,-1,2.7360625,16000,1,PCM_16
66,test,-1,2.6359375,16000,1,PCM_16
67,train,2,2.2689375,16000,1,PCM_16
68,train,3,3.103125,16000,1,PCM_16
69,train,3,2.56925,16000,1,PCM_16
70,train,3,2.3356875,16000,1,PCM_16
71,train,4,2.6693125,16000,1,PCM_16
72,train,2,3.8038125,16000,1,PCM_16
73,train,1,1.93525,16000,1,PCM_16
74,train,1,1.6683125,16000,1,PCM_16
75,train,0,1.54975,16000,1,PCM_16
76,test,-1,2.969625,16000,1,PCM_16
77,train,5,2.3023125,16000,1,PCM_16
78,train,0,3.003,16000,1,PCM_16
79,train,4,2.56925,16000,1,PCM_16
80,train,5,2.06875,16000,1,PCM_16
81,train,3,2.3356875,16000,1,PCM_16
82,train,4,3.6369375,16000,1,PCM_16
83,test,-1,3.2365625,16000,1,PCM_16
84,train,0,2.7026875,16000,1,PCM_16
85,test,-1,2.43575,16000,1,PCM_16
86,train,1,2.2689375,16000,1,PCM_16
