epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.2274,2.6835,8.80258,0.97108,0.65388,0.24016,0.20514,0.06301,2.68083,3.83394,0.93104,0.000473071,0.000473071,0.000473071
2,56.6662,2.4881,3.7019,0.91464,0.63806,0.26218,0.26059,0.07701,2.69222,1.83968,0.93996,0.000948931,0.000948931,0.000948931
3,74.7609,2.48733,2.06122,0.91409,0.2749,0.29605,0.23918,0.08526,2.5616,1.83705,0.94624,0.0014229,0.0014229,0.0014229
4,93.4096,2.42926,1.60679,0.91263,0.74118,0.32661,0.3397,0.11706,2.47428,1.50717,0.92588,0.0014226,0.0014226,0.0014226
5,113.928,2.39047,1.42485,0.90926,0.7067,0.31975,0.32598,0.11595,2.39552,1.47224,0.91107,0.00141763,0.00141763,0.00141763
6,134.48,2.34295,1.31953,0.88622,0.34677,0.34602,0.28561,0.10649,2.4385,1.62618,0.91964,0.00141127,0.00141127,0.00141127
7,153.107,2.31559,1.30305,0.89331,0.42353,0.46814,0.38655,0.14738,2.40598,1.40885,0.91223,0.00140351,0.00140351,0.00140351
8,171.619,2.29017,1.23053,0.88908,0.43998,0.46904,0.39964,0.14764,2.37236,1.33528,0.91558,0.00139438,0.00139438,0.00139438
9,192.775,2.2694,1.19933,0.88395,0.43704,0.39682,0.37332,0.13513,2.37003,1.3643,0.9113,0.0013839,0.0013839,0.0013839
10,212.069,2.24131,1.20562,0.88729,0.48075,0.45141,0.3967,0.13986,2.39179,1.41834,0.91459,0.00137208,0.00137208,0.00137208
11,231.641,2.23096,1.22394,0.88065,0.56584,0.35369,0.37794,0.13905,2.36355,1.43511,0.90763,0.00135895,0.00135895,0.00135895
12,251.682,2.2033,1.14304,0.87489,0.5737,0.44235,0.45337,0.17562,2.32546,1.37051,0.90768,0.00134454,0.00134454,0.00134454
13,269.286,2.19706,1.13788,0.87078,0.50857,0.42801,0.42138,0.1668,2.29708,1.40397,0.90251,0.00132887,0.00132887,0.00132887
14,286.96,2.1775,1.1063,0.87504,0.55987,0.4662,0.47121,0.17753,2.30362,1.31372,0.90305,0.00131198,0.00131198,0.00131198
