epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.2936,3.40844,32.3847,2.5042,0.22395,0.26351,0.17255,0.05528,2.48735,3.78935,1.56523,0.000474702,0.000474702,0.000474702
2,81.0167,2.32505,6.52833,1.45548,0.25242,0.27418,0.19364,0.06759,2.24463,3.39768,1.42486,0.000950749,0.000950749,0.000950749
3,117.032,2.22121,4.45065,1.37105,0.67394,0.29741,0.29854,0.10624,2.22965,1.82488,1.37882,0.00142565,0.00142565,0.00142565
4,152.273,2.07866,2.80525,1.29996,0.35621,0.33169,0.33542,0.1226,2.10374,1.76069,1.29744,0.00142513,0.00142513,0.00142513
5,187.187,2.02963,1.99669,1.286,0.36507,0.3597,0.3336,0.12723,2.06394,1.59134,1.2877,0.00142212,0.00142212,0.00142212
6,222.324,2.03399,1.71213,1.24811,0.70483,0.37292,0.37222,0.14182,2.02304,1.50515,1.26091,0.00141825,0.00141825,0.00141825
7,257.354,1.99288,1.5606,1.25279,0.42643,0.38729,0.4221,0.16791,2.01577,1.38549,1.24273,0.00141354,0.00141354,0.00141354
8,292.472,1.97089,1.44776,1.22302,0.21988,0.51151,0.25344,0.10744,2.01127,16.3375,1.24617,0.00140799,0.00140799,0.00140799
9,327.777,1.95041,1.39155,1.21906,0.39806,0.49008,0.39182,0.15013,2.03957,1.53901,1.24826,0.0014016,0.0014016,0.0014016
10,362.619,1.92368,1.34072,1.21392,0.37441,0.42679,0.40389,0.15658,2.02213,1.50153,1.24257,0.00139438,0.00139438,0.00139438
11,397.455,1.90728,1.32563,1.2064,0.72092,0.45651,0.47449,0.19356,1.971,1.38401,1.22166,0.00138634,0.00138634,0.00138634
12,432.202,1.89192,1.26137,1.19579,0.51666,0.52073,0.50554,0.21079,1.96749,1.43621,1.22141,0.00137749,0.00137749,0.00137749
13,467.048,1.87171,1.23952,1.18371,0.62367,0.46398,0.49586,0.20221,2.06242,1.50994,1.23912,0.00136785,0.00136785,0.00136785
14,501.897,1.85818,1.21882,1.19576,0.38539,0.47946,0.33985,0.14408,1.93055,1.58837,1.20548,0.00135741,0.00135741,0.00135741
15,537.757,1.87804,1.22332,1.1838,0.72516,0.49539,0.55724,0.23134,1.96342,1.34146,1.2129,0.0013462,0.0013462,0.0013462
16,573.455,1.86083,1.17077,1.19226,0.66839,0.4788,0.54028,0.22428,2.00837,1.28063,1.23543,0.00133423,0.00133423,0.00133423
17,608.597,1.86921,1.20881,1.19086,0.68166,0.5161,0.56042,0.24645,1.9567,1.35752,1.20935,0.00132152,0.00132152,0.00132152
18,644.213,1.83208,1.19771,1.17777,0.51817,0.48151,0.4532,0.19087,1.94187,1.43388,1.21108,0.00130807,0.00130807,0.00130807
19,679.949,1.82454,1.15178,1.16528,0.33785,0.4696,0.29983,0.11775,1.99774,2.09901,1.21594,0.00129391,0.00129391,0.00129391
20,715.764,1.83188,1.13186,1.15304,0.57555,0.51257,0.5047,0.21669,1.93281,1.44532,1.20262,0.00127905,0.00127905,0.00127905
21,754.925,1.8296,1.1456,1.17022,0.61464,0.56034,0.5554,0.23561,1.96319,1.4608,1.21044,0.00126351,0.00126351,0.00126351
22,790.937,1.82882,1.12078,1.15951,0.54356,0.55612,0.46808,0.19062,1.94991,1.40916,1.21271,0.00124731,0.00124731,0.00124731
23,826.451,1.80084,1.09989,1.14819,0.73122,0.5167,0.59407,0.25209,1.91999,1.26181,1.19029,0.00123047,0.00123047,0.00123047
24,862.415,1.78706,1.07554,1.14852,0.29887,0.56549,0.25093,0.10492,1.92059,3.71507,1.20833,0.00121302,0.00121302,0.00121302
25,897.56,1.79452,1.07031,1.14076,0.61609,0.51322,0.52891,0.21984,1.9219,1.36961,1.19744,0.00119496,0.00119496,0.00119496
26,932.348,1.81677,1.08099,1.14495,0.65949,0.45834,0.5216,0.22529,1.93443,1.39032,1.19714,0.00117632,0.00117632,0.00117632
27,967.15,1.76309,1.03639,1.13607,0.60272,0.54658,0.57806,0.24678,1.9304,1.29979,1.19461,0.00115714,0.00115714,0.00115714
28,1003.39,1.77359,1.04116,1.15236,0.58666,0.52388,0.51903,0.22331,1.93258,1.40177,1.20382,0.00113742,0.00113742,0.00113742
29,1038.63,1.76493,1.05698,1.13529,0.73283,0.5223,0.58668,0.2511,1.90659,1.27346,1.19547,0.00111719,0.00111719,0.00111719
30,1073.58,1.78081,1.04798,1.14241,0.70139,0.47444,0.56519,0.24015,1.9191,1.38266,1.19454,0.00109649,0.00109649,0.00109649
31,1108.26,1.73883,1.03539,1.13849,0.67899,0.51573,0.57402,0.26137,1.90946,1.29599,1.1868,0.00107532,0.00107532,0.00107532
32,1143.5,1.74861,1.03935,1.14661,0.70131,0.51725,0.60428,0.2528,1.96436,1.28293,1.21384,0.00105373,0.00105373,0.00105373
33,1178.42,1.74235,1.00869,1.12416,0.70025,0.44514,0.54513,0.23763,1.94436,1.39723,1.20328,0.00103173,0.00103173,0.00103173
34,1213.91,1.75851,1.03661,1.14318,0.66997,0.52748,0.57627,0.25824,1.94178,1.3459,1.19663,0.00100935,0.00100935,0.00100935
35,1249.31,1.74696,1.00787,1.12863,0.76998,0.47677,0.56285,0.23621,1.93619,1.43337,1.19127,0.000986625,0.000986625,0.000986625
36,1284.58,1.73148,1.00449,1.13094,0.66256,0.5435,0.58193,0.25581,1.92156,1.30677,1.19827,0.000963575,0.000963575,0.000963575
37,1319.74,1.73474,0.99854,1.12224,0.73145,0.55261,0.60967,0.26242,1.95405,1.32263,1.2015,0.00094023,0.00094023,0.00094023
38,1354.81,1.73903,0.98691,1.12478,0.76221,0.54013,0.61774,0.27679,1.90726,1.2793,1.19034,0.000916618,0.000916618,0.000916618
39,1389.87,1.723,0.98355,1.12289,0.71798,0.50603,0.58172,0.25739,1.91221,1.38453,1.18822,0.00089277,0.00089277,0.00089277
40,1424.79,1.71733,0.97004,1.12337,0.69322,0.47686,0.53498,0.23027,1.94486,1.42968,1.20798,0.000868712,0.000868712,0.000868712
41,1463.23,1.73869,0.96901,1.1332,0.71635,0.51997,0.55826,0.24255,1.94868,1.36861,1.1998,0.000844476,0.000844476,0.000844476
42,1497.89,1.71287,0.97224,1.12389,0.7259,0.49654,0.56452,0.24885,1.92656,1.45131,1.19663,0.00082009,0.00082009,0.00082009
