epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.1453,2.65781,8.81731,0.96214,0.66179,0.25991,0.21861,0.07359,2.62478,3.84963,0.93456,0.000473891,0.000473891,0.000473891
2,65.7134,2.42655,3.75932,0.90748,0.65089,0.30238,0.26575,0.09421,2.45631,1.6624,0.90875,0.00094975,0.00094975,0.00094975
3,90.0499,2.45084,1.99867,0.90826,0.67191,0.30469,0.27714,0.09518,2.46707,1.65007,0.90681,0.00142371,0.00142371,0.00142371
4,113.945,2.36501,1.49553,0.91277,0.69226,0.32306,0.31701,0.11727,2.44419,2.1835,0.9148,0.0014226,0.0014226,0.0014226
5,137.773,2.31409,1.36069,0.90361,0.71414,0.33319,0.39022,0.1519,2.43287,1.41812,0.90965,0.00141763,0.00141763,0.00141763
6,161.45,2.27335,1.26751,0.87983,0.71731,0.33793,0.34058,0.11552,2.40937,1.46665,0.89339,0.00141127,0.00141127,0.00141127
7,185.208,2.26684,1.24993,0.89326,0.72984,0.34266,0.35858,0.13472,2.38828,1.3867,0.9097,0.00140351,0.00140351,0.00140351
8,208.916,2.2008,1.18151,0.8768,0.74583,0.34635,0.36882,0.13265,2.363,1.47614,0.90338,0.00139438,0.00139438,0.00139438
9,232.626,2.20243,1.1714,0.87282,0.56421,0.44325,0.41278,0.14774,2.37074,1.35878,0.90187,0.0013839,0.0013839,0.0013839
10,256.418,2.16962,1.14399,0.87897,0.71122,0.33537,0.33066,0.12445,2.38424,1.53959,0.9061,0.00137208,0.00137208,0.00137208
11,280.024,2.17164,1.13693,0.87442,0.75736,0.35306,0.41321,0.16054,2.30502,1.32945,0.89269,0.00135895,0.00135895,0.00135895
12,303.593,2.17839,1.10829,0.86746,0.55497,0.38535,0.40308,0.15131,2.33945,1.31308,0.89969,0.00134454,0.00134454,0.00134454
13,327.074,2.16295,1.08357,0.86183,0.42136,0.4766,0.40626,0.15966,2.31715,1.27281,0.90339,0.00132887,0.00132887,0.00132887
14,350.567,2.11639,1.05674,0.86323,0.43348,0.49673,0.44317,0.16363,2.3357,1.35167,0.89769,0.00131198,0.00131198,0.00131198
15,374.068,2.11385,1.09274,0.86831,0.48553,0.4809,0.46489,0.19475,2.30055,1.28688,0.89821,0.00129391,0.00129391,0.00129391
16,397.579,2.11019,1.05566,0.86905,0.56218,0.43359,0.46157,0.17504,2.27213,1.31866,0.88765,0.00127468,0.00127468,0.00127468
17,421.371,2.09151,1.03428,0.871,0.43508,0.50462,0.44706,0.1718,2.35586,1.33522,0.90569,0.00125433,0.00125433,0.00125433
18,445.152,2.0766,1.03699,0.86736,0.484,0.48387,0.46078,0.19092,2.28881,1.35657,0.89855,0.00123292,0.00123292,0.00123292
