epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.4099,2.36633,7.94413,0.98886,0.48583,0.36292,0.33585,0.11305,2.45561,3.65172,0.9864,0.000474148,0.000474148,0.000474148
2,85.4376,2.1967,3.29883,0.9356,0.36145,0.38128,0.31206,0.11542,2.39614,1.73902,0.9986,0.000950008,0.000950008,0.000950008
3,117.421,2.24694,1.89093,0.96045,0.51855,0.45841,0.44854,0.17085,2.28396,1.44831,0.97121,0.00142397,0.00142397,0.00142397
4,148.407,2.13129,1.44151,0.92949,0.43138,0.45825,0.38435,0.14601,2.31113,1.49863,0.98007,0.0014226,0.0014226,0.0014226
5,179.243,2.08135,1.3149,0.93042,0.49091,0.54683,0.4987,0.18727,2.25818,1.36377,0.97902,0.00141763,0.00141763,0.00141763
6,209.928,2.0563,1.20623,0.9319,0.49489,0.48969,0.47512,0.17099,2.2906,1.45151,0.9848,0.00141127,0.00141127,0.00141127
7,240.567,2.03264,1.20639,0.92575,0.53712,0.51679,0.49899,0.20321,2.13077,1.31748,0.95102,0.00140351,0.00140351,0.00140351
8,271.228,2.04026,1.17045,0.92491,0.5572,0.48051,0.45211,0.16949,2.2247,1.40199,0.96753,0.00139438,0.00139438,0.00139438
9,302.67,2.00218,1.12823,0.91,0.55611,0.4491,0.46799,0.17234,2.18117,1.53205,0.94984,0.0013839,0.0013839,0.0013839
10,334.024,1.99814,1.11504,0.90425,0.57299,0.54903,0.54134,0.21899,2.15758,1.27512,0.96574,0.00137208,0.00137208,0.00137208
11,365.203,1.98675,1.1059,0.90846,0.52503,0.54462,0.49771,0.17655,2.26422,1.40907,0.98115,0.00135895,0.00135895,0.00135895
12,395.979,1.94538,1.03831,0.89869,0.56809,0.57181,0.53163,0.20805,2.11435,1.36012,0.94672,0.00134454,0.00134454,0.00134454
13,427.452,1.92199,1.03365,0.90635,0.61027,0.50388,0.51739,0.19831,2.21246,1.3118,0.96424,0.00132887,0.00132887,0.00132887
14,458.286,1.95446,1.05056,0.91073,0.57835,0.5225,0.494,0.20419,2.12359,1.29461,0.95107,0.00131198,0.00131198,0.00131198
15,489.305,1.91799,1.02095,0.90755,0.67536,0.45226,0.50338,0.21081,2.14549,1.28868,0.95546,0.00129391,0.00129391,0.00129391
16,520.567,1.93513,1.01717,0.9027,0.55377,0.52929,0.50736,0.19754,2.22439,1.28868,0.97083,0.00127468,0.00127468,0.00127468
17,552.313,1.85338,0.97039,0.89881,0.6467,0.50913,0.53608,0.21435,2.11225,1.21963,0.94709,0.00125433,0.00125433,0.00125433
18,583.362,1.84036,0.97101,0.8934,0.65838,0.50377,0.58462,0.24639,2.06632,1.30812,0.93784,0.00123292,0.00123292,0.00123292
19,614.225,1.85051,0.95247,0.88807,0.63861,0.53886,0.55873,0.21863,2.19279,1.23116,0.97676,0.00121047,0.00121047,0.00121047
20,645.764,1.86252,0.95908,0.89642,0.61468,0.55354,0.57979,0.22985,2.10005,1.16598,0.94703,0.00118704,0.00118704,0.00118704
21,678.731,1.86143,0.94739,0.88831,0.58392,0.55123,0.55675,0.22187,2.11111,1.2945,0.95537,0.00116267,0.00116267,0.00116267
22,709.734,1.85337,0.94469,0.88296,0.63103,0.59194,0.57238,0.2268,2.16203,1.20809,0.96193,0.00113742,0.00113742,0.00113742
23,740.653,1.85842,0.93955,0.88587,0.6483,0.52764,0.59076,0.23638,2.08812,1.17897,0.95418,0.00111132,0.00111132,0.00111132
24,771.353,1.85642,0.94152,0.8985,0.65056,0.55373,0.57797,0.22741,2.11383,1.1752,0.95551,0.00108445,0.00108445,0.00108445
25,802.017,1.80687,0.91276,0.89447,0.81746,0.55467,0.62687,0.24092,2.16667,1.19549,0.96109,0.00105684,0.00105684,0.00105684
26,832.513,1.7932,0.89562,0.87983,0.52469,0.55322,0.54504,0.20435,2.17093,1.252,0.96489,0.00102855,0.00102855,0.00102855
27,862.89,1.80228,0.89245,0.88538,0.70908,0.51968,0.58017,0.21904,2.12615,1.25551,0.96122,0.000999653,0.000999653,0.000999653
28,897.983,1.78918,0.88976,0.87232,0.60355,0.54157,0.56761,0.22811,2.08756,1.20546,0.94638,0.000970192,0.000970192,0.000970192
29,931.186,1.80483,0.8921,0.88475,0.73357,0.48446,0.55949,0.22876,2.08966,1.14869,0.94256,0.00094023,0.00094023,0.00094023
30,962.898,1.78802,0.87174,0.8779,0.53306,0.55802,0.52904,0.22203,2.04828,1.17403,0.94299,0.000909827,0.000909827,0.000909827
31,994.341,1.74729,0.85991,0.88366,0.73034,0.57532,0.64848,0.27086,2.05332,1.15066,0.94601,0.000879046,0.000879046,0.000879046
32,1025.73,1.72778,0.83366,0.89007,0.66627,0.5418,0.5838,0.23822,2.06047,1.20318,0.94053,0.000847948,0.000847948,0.000847948
33,1057.14,1.76292,0.85894,0.88219,0.64035,0.53284,0.57786,0.23786,2.09077,1.15419,0.9493,0.000816596,0.000816596,0.000816596
