epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7078,1.63618,4.28079,1.38427,0.00473,0.87345,0.14583,0.09,1.23867,3.48088,1.07882,0.0002695,0.0002695,0.0002695
2,19.6617,1.53494,3.29383,1.29687,0.95217,0.04111,0.35261,0.20172,1.31204,3.0512,1.16645,0.000547098,0.000547098,0.000547098
3,23.5253,1.52682,2.78763,1.30937,0.62283,0.39234,0.4767,0.25238,1.43986,2.47263,1.32954,0.000824422,0.000824422,0.000824422
4,27.3131,1.52522,2.44328,1.3131,0.5518,0.5551,0.5682,0.29083,1.62904,2.69586,1.54974,0.000832066,0.000832066,0.000832066
5,31.1279,1.53019,2.30983,1.32079,0.77006,0.70756,0.76524,0.36601,1.64133,1.88069,1.59825,0.00083134,0.00083134,0.00083134
6,34.914,1.50046,2.10702,1.3212,0.74724,0.69253,0.75929,0.43301,1.41302,1.45129,1.38204,0.000830407,0.000830407,0.000830407
7,38.6719,1.47067,2.01533,1.31013,0.6953,0.68399,0.69315,0.41618,1.39174,1.67791,1.33683,0.000829268,0.000829268,0.000829268
8,42.4792,1.5062,1.92028,1.3163,0.71653,0.76578,0.82707,0.44237,1.5595,1.44797,1.42938,0.000827923,0.000827923,0.000827923
9,46.3284,1.46437,1.78859,1.28133,0.82392,0.81732,0.85228,0.48533,1.45267,1.18351,1.30507,0.000826374,0.000826374,0.000826374
10,50.1605,1.47724,1.78366,1.33031,0.76007,0.72008,0.83924,0.47115,1.45926,1.29017,1.34104,0.000824619,0.000824619,0.000824619
11,53.9371,1.452,1.71107,1.29158,0.80065,0.85371,0.8578,0.47203,1.45751,1.26413,1.36125,0.000822662,0.000822662,0.000822662
12,57.7703,1.41072,1.63763,1.28092,0.83783,0.81833,0.90465,0.56723,1.29005,1.13713,1.30796,0.000820502,0.000820502,0.000820502
13,61.5865,1.43571,1.60835,1.26117,0.76684,0.85005,0.88651,0.49211,1.53035,1.17097,1.43245,0.000818141,0.000818141,0.000818141
14,65.3813,1.41357,1.54011,1.28383,0.79368,0.82869,0.88998,0.47257,1.5867,1.0486,1.39167,0.000815579,0.000815579,0.000815579
15,69.1545,1.39433,1.48775,1.2658,0.76651,0.82255,0.83135,0.46213,1.52662,1.21996,1.42172,0.000812819,0.000812819,0.000812819
16,72.9499,1.41819,1.42553,1.27598,0.82313,0.91959,0.91678,0.51843,1.41802,1.02785,1.42215,0.000809861,0.000809861,0.000809861
17,76.7083,1.42936,1.38906,1.30111,0.88148,0.83756,0.89878,0.51353,1.43923,1.05882,1.42485,0.000806707,0.000806707,0.000806707
18,80.4825,1.39263,1.37323,1.27803,0.83439,0.85868,0.88619,0.53047,1.39456,1.02465,1.35745,0.000803359,0.000803359,0.000803359
19,84.2103,1.41142,1.37592,1.27193,0.83763,0.84821,0.90579,0.51015,1.47064,0.9958,1.39313,0.000799818,0.000799818,0.000799818
20,87.9742,1.38905,1.31871,1.26196,0.79429,0.9241,0.90005,0.52464,1.43474,0.94853,1.34647,0.000796087,0.000796087,0.000796087
21,96.6715,1.39219,1.28938,1.25487,0.8771,0.90747,0.93061,0.52665,1.44219,0.91364,1.4048,0.000792166,0.000792166,0.000792166
22,100.409,1.40593,1.26446,1.29206,0.79055,0.84375,0.90097,0.50395,1.47798,0.99938,1.43515,0.000788058,0.000788058,0.000788058
