epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7051,1.62653,7.54052,0.00942,0.00919,0.6546,0.06127,0.03985,1.00814,3.63295,0.0094,0.0002695,0.0002695,0.0002695
2,21.6745,1.485,6.47204,0.0086,0.0043,0.93624,0.17693,0.10494,1.17169,3.22861,0.01159,0.000547098,0.000547098,0.000547098
3,26.4662,1.52349,5.81235,0.00851,0.76809,0.11949,0.35589,0.22554,1.0811,2.61039,0.01023,0.000824422,0.000824422,0.000824422
4,31.4654,1.56759,5.16487,0.00841,0.3957,0.38822,0.42424,0.26538,1.22651,2.09586,0.01207,0.000832066,0.000832066,0.000832066
5,36.2225,1.57314,4.88854,0.00899,0.51689,0.51103,0.57631,0.36288,1.26909,1.70972,0.01288,0.00083134,0.00083134,0.00083134
6,41.0311,1.54897,4.17798,0.00847,0.53217,0.57898,0.60881,0.33482,1.47328,1.5964,0.01495,0.000830407,0.000830407,0.000830407
7,45.7613,1.54283,4.07063,0.00861,0.55122,0.63928,0.67337,0.40173,1.35525,1.32292,0.01381,0.000829268,0.000829268,0.000829268
8,50.5497,1.49755,3.58808,0.00867,0.50307,0.70801,0.69596,0.38153,1.5345,1.50811,0.01657,0.000827923,0.000827923,0.000827923
9,55.3081,1.54527,3.3389,0.00885,0.62264,0.72731,0.74222,0.41632,1.49101,1.21394,0.01568,0.000826374,0.000826374,0.000826374
10,60.3523,1.54464,3.18468,0.00922,0.72811,0.61767,0.75417,0.43464,1.47979,1.11745,0.01523,0.000824619,0.000824619,0.000824619
11,65.0994,1.55666,2.94714,0.0089,0.72713,0.64574,0.78267,0.47322,1.35672,1.19294,0.01346,0.000822662,0.000822662,0.000822662
12,69.8616,1.55321,2.78943,0.00907,0.68572,0.74467,0.80384,0.522,1.21248,1.05584,0.01211,0.000820502,0.000820502,0.000820502
13,74.6682,1.56372,2.5572,0.00861,0.79508,0.75834,0.85691,0.51222,1.38699,1.02201,0.0144,0.000818141,0.000818141,0.000818141
14,79.4376,1.52689,2.43565,0.00885,0.82881,0.70379,0.82974,0.44732,1.56663,0.98083,0.01761,0.000815579,0.000815579,0.000815579
15,84.1898,1.53893,2.27586,0.00869,0.69906,0.73199,0.81231,0.45175,1.46493,1.09391,0.01613,0.000812819,0.000812819,0.000812819
16,88.9405,1.54914,2.14568,0.0089,0.81691,0.79076,0.85877,0.5029,1.44564,0.92859,0.01538,0.000809861,0.000809861,0.000809861
17,93.8098,1.53232,2.0419,0.00861,0.7514,0.74704,0.83176,0.53554,1.26986,0.90968,0.01308,0.000806707,0.000806707,0.000806707
18,98.5844,1.48193,1.94228,0.00884,0.73859,0.76964,0.85656,0.5401,1.3495,0.92359,0.01415,0.000803359,0.000803359,0.000803359
19,103.314,1.5471,1.85946,0.00889,0.79147,0.6844,0.84569,0.48663,1.40218,1.04467,0.01381,0.000799818,0.000799818,0.000799818
20,108.028,1.52939,1.77709,0.00895,0.71356,0.81306,0.84911,0.52018,1.37926,0.89364,0.01402,0.000796087,0.000796087,0.000796087
21,114.968,1.51014,1.75963,0.00857,0.78523,0.75082,0.8672,0.50002,1.43681,1.003,0.01501,0.000792166,0.000792166,0.000792166
22,119.717,1.55304,1.69884,0.00885,0.78513,0.79685,0.8822,0.49778,1.51995,0.86361,0.01523,0.000788058,0.000788058,0.000788058
23,124.619,1.536,1.62377,0.00923,0.8044,0.80374,0.87849,0.48549,1.56491,0.86734,0.01573,0.000783765,0.000783765,0.000783765
24,129.339,1.49519,1.56556,0.00846,0.85756,0.76025,0.88757,0.52748,1.46553,0.85031,0.01539,0.00077929,0.00077929,0.00077929
25,133.985,1.4931,1.52487,0.0083,0.78093,0.79252,0.87046,0.54246,1.36797,0.81685,0.01379,0.000774633,0.000774633,0.000774633
26,138.831,1.50335,1.51445,0.00847,0.75298,0.80548,0.86067,0.50677,1.45259,0.87579,0.01517,0.000769799,0.000769799,0.000769799
27,143.536,1.48847,1.39762,0.00889,0.78981,0.82045,0.89556,0.53397,1.43016,0.78249,0.01439,0.000764789,0.000764789,0.000764789
