epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.4588,1.64324,4.92042,1.54201,0.00445,0.91685,0.24451,0.13839,1.32272,3.14117,1.37433,0.000273583,0.000273583,0.000273583
2,32.7909,1.51681,3.96365,1.40914,0.56449,0.41487,0.50897,0.2725,1.57338,2.20238,1.49223,0.000551181,0.000551181,0.000551181
3,41.4912,1.54418,3.58617,1.42842,0.54767,0.66834,0.65146,0.33539,1.56025,2.32991,1.49858,0.000828504,0.000828504,0.000828504
4,49.9514,1.56217,3.13343,1.39692,0.60553,0.70381,0.70041,0.38291,1.47457,2.53236,1.44184,0.000832066,0.000832066,0.000832066
5,58.5961,1.56054,2.96812,1.41682,0.67243,0.77205,0.76933,0.37698,1.62579,1.75863,1.57018,0.00083134,0.00083134,0.00083134
6,67.0272,1.51293,2.66656,1.3945,0.65313,0.70729,0.6895,0.37924,1.51197,1.63782,1.51668,0.000830407,0.000830407,0.000830407
7,75.3649,1.5179,2.59025,1.4068,0.77842,0.69769,0.7913,0.44906,1.41074,1.32707,1.43591,0.000829268,0.000829268,0.000829268
8,83.7346,1.4866,2.33778,1.40547,0.70336,0.80842,0.8206,0.45484,1.44342,1.51052,1.46368,0.000827923,0.000827923,0.000827923
9,92.1698,1.50298,2.22923,1.39609,0.78375,0.76136,0.84134,0.45632,1.48506,1.44446,1.47403,0.000826374,0.000826374,0.000826374
10,100.535,1.51421,2.13393,1.43168,0.84269,0.76145,0.86362,0.52505,1.33016,1.13505,1.3367,0.000824619,0.000824619,0.000824619
11,108.868,1.4932,2.00617,1.40221,0.78184,0.84886,0.84445,0.54595,1.29545,1.17901,1.36925,0.000822662,0.000822662,0.000822662
12,117.225,1.47007,1.95655,1.40465,0.86107,0.82792,0.88093,0.53062,1.33418,1.17243,1.36756,0.000820502,0.000820502,0.000820502
13,125.214,1.47712,1.86179,1.40194,0.77497,0.89178,0.9015,0.44325,1.64722,1.32336,1.61739,0.000818141,0.000818141,0.000818141
14,133.273,1.46902,1.75878,1.39828,0.79448,0.91428,0.88679,0.46591,1.55668,1.04732,1.48798,0.000815579,0.000815579,0.000815579
15,141.418,1.45409,1.66064,1.36365,0.86016,0.88491,0.93874,0.54601,1.45788,1.01222,1.40502,0.000812819,0.000812819,0.000812819
16,149.526,1.42531,1.58191,1.36086,0.85645,0.90403,0.91747,0.48106,1.55429,1.01277,1.50469,0.000809861,0.000809861,0.000809861
